,brgy,literacy_score,asset_score,water_score,food_score,home_score,income_score,total_score
18,20,0.6392156862745099,0.2269230769230776,0.3576923076923077,1.0,0.9865384615384613,0.9907211538461538,0.7001817810457517
19,21,0.5173160173160173,0.26666666666666644,0.875968992248062,1.0,0.941214470284238,0.9830426356589148,0.764034797028983
20,22,0.4485544217687076,0.21333333333333296,0.8,1.0,0.9666666666666668,1.0,0.7380924036281179
21,23,0.4743134290753338,0.3289617486338797,0.5027322404371585,1.0,0.9585610200364296,0.9948770491803278,0.7099075812271883
22,24,0.4528195488721804,0.2461538461538473,0.1013986013986014,1.0,0.8846153846153828,0.9993444055944056,0.6140552977724029
23,25,0.4296945193171609,0.2386666666666663,0.013333333333333334,1.0,0.9299999999999994,1.0,0.60194908655286
24,26,0.4784256559766763,0.2430232558139537,0.06395348837209303,1.0,0.8958333333333323,0.9891896802325582,0.6117375689547688
25,27,0.5594224924012158,0.2351851851851848,0.04629629629629629,1.0,0.938271604938272,0.9875578703703703,0.6277889081985565
26,28,0.4302107728337238,0.217840375586855,0.018779342723004692,1.0,0.889671361502347,0.9946302816901408,0.5918553557226786
27,30,0.5163736263736264,0.24831460674157346,0.5112359550561798,1.0,0.7570224719101126,0.9624297752808988,0.6658960725603985
28,31,0.4833333333333333,0.3384615384615385,0.5384615384615384,1.0,0.7115384615384616,0.9723557692307692,0.674025106837607
29,33,0.6701178451178451,0.211920529801324,0.8675496688741722,1.0,0.9911699779249448,0.9950331125827816,0.7892985223835113
30,34,0.6620490620490621,0.2230769230769231,0.956043956043956,1.0,0.9977106227106226,0.98385989010989,0.8037900756650757
31,35,0.8483686067019398,0.19813084112149631,0.956386292834891,1.0,0.9997403946002076,0.9968847352024922,0.8332518117435045
32,36,0.7437293729372938,0.235483870967742,1.0,1.0,1.0,0.9956317204301076,0.8291408273891906
33,37,0.6741263028816675,0.2257668711656442,0.9003067484662577,1.0,0.9991053169734154,0.9840394938650306,0.797224122225336
34,38,0.5361635220125786,0.2770053475935832,0.5187165775401069,1.0,0.827094474153298,0.9727606951871658,0.6886234360811221
35,40,0.2,0.2,1.0,1.0,1.0,1.0,0.7333333333333334
36,41,0.6458333333333334,0.1692307692307692,0.7692307692307693,1.0,0.9871794871794872,1.0,0.7619123931623931
37,42,0.4829029304029304,0.21944444444444555,0.2048611111111111,1.0,0.9985532407407408,0.9756944444444444,0.6469093618572788
